,importance
num_voted_users,0.5548484925021385
log_budget,0.20111433251586955
title_year,0.07980202298941731
imdb_score,0.03716339717930312
rating_R,0.03213630354334605
num_critic_for_reviews,0.02470010043817985
rating_Not Rated,0.01545609519653786
duration,0.01369497931713579
rating_Unknown,0.008690914951363215
genre_Action,0.006255961940935044
rating_PG,0.00472475159483296
rating_PG-13,0.0033289514026025304
rating_Unrated,0.003192043282627025
rating_G,0.0028797168081582665
genre_Crime,0.002542519202579631
